bill_number,ai_classifier_db_status,deterministic_classifier,match,human_flagged_misclassification,dead,unmatched_count,newest_chamber,newest_date,newest_status_line
SB2973,crossoverWaiting2,crossoverWaiting2,YES,,,0,H,3/30/2026,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on JHA with none voting aye with reservations; Representative(s) Garcia voting no (1) and Representative(s) Cochran, Lowen, Perruso, Quinlan excused (4)."
SB2975,crossoverWaiting1,crossoverWaiting1,YES,,,0,H,3/12/2026,Pass First Reading
SB2977,introduced,introduced,YES,,,0,S,1/30/2026,"Referred to WLA, WAM."
SB2979,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to JDC."
SB3043,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to JDC/WAM."
SB3054,introduced,introduced,YES,,,0,S,1/30/2026,"Referred to AEN, WAM."
SB3056,introduced,introduced,YES,,,0,S,1/30/2026,"Referred to PSM, WAM."
SB3058,introduced,introduced,YES,,,0,S,1/30/2026,"Referred to EDU, WAM."
SB3060,introduced,introduced,YES,false_negative,,0,S,1/30/2026,"Referred to AEN/PSM, JDC."
SB3063,conferenceScheduled,conferenceScheduled,YES,,,0,H,5/1/2026,Conference Committee Meeting will reconvene on Friday 05-01-26 4:00PM in conference room 229.
SB3066,introduced,introduced,YES,,,0,S,1/30/2026,"Referred to AEN, WAM."
SB3115,introduced,introduced,YES,,,0,S,2/2/2026,"Referred to EDU, WAM."
SB3119,introduced,introduced,YES,,,0,S,2/2/2026,"Referred to EDU, WAM."
SB3137,governorSigns,governorSigns,YES,,,0,S,6/9/2026,"Act 108, 06/08/2026 (Gov. Msg. No. 1208)."
SB3158,introduced,introduced,YES,,,0,S,2/2/2026,"Referred to EDU, WAM."
SB3162,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB3197,introduced,introduced,YES,false_negative,,0,S,2/2/2026,"Referred to HHS/LBT, WAM."
SB3221,introduced,introduced,YES,,,0,S,2/2/2026,"Referred to TRS/AEN, WAM."
SB3222,introduced,introduced,YES,,,0,S,2/2/2026,"Referred to AEN, WAM."
SB3224,introduced,introduced,YES,,,0,S,2/2/2026,"Referred to AEN, JDC."
SB3231,crossoverWaiting1,crossoverWaiting1,YES,,,0,H,3/12/2026,Pass First Reading
SB3232,crossoverWaiting1,crossoverWaiting1,YES,,,0,H,3/10/2026,Pass First Reading
SB3233,conferenceScheduled,conferenceScheduled,YES,,,0,S,5/1/2026,Conference committee meeting to reconvene on 05-01-26 12:45 PM; Conference Room 325.
SB3245,transmittedGovernor,transmittedGovernor,YES,,,0,S,5/8/2026,Enrolled to Governor.
SB3256,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB3257,introduced,introduced,YES,,,0,S,2/2/2026,"Referred to EDU/HHS, WAM."
SB3258,introduced,introduced,YES,,,0,S,2/2/2026,"Referred to AEN, WAM."
SB3296,scheduled2,scheduled2,YES,,,0,S,3/5/2026,The committee on WAM deferred the measure.
SB3297,introduced,introduced,YES,,,0,S,2/2/2026,"Referred to WLA/AEN, WAM."
SB3298,introduced,introduced,YES,,,0,S,2/2/2026,"Referred to WLA/AEN/EIG/EDT, WAM."
SB3302,governorSigns,governorSigns,YES,,,0,S,6/9/2026,"Act 110, 06/08/2026 (Gov. Msg. No. 1210)."
SB3318,introduced,introduced,YES,,,0,S,2/2/2026,"Referred to AEN/EDU, WAM."
SB3320,transmittedGovernor,transmittedGovernor,YES,,,0,S,5/8/2026,Enrolled to Governor.
SB3321,introduced,introduced,YES,,,0,S,2/2/2026,"Referred to AEN, WAM."
SB3323,scheduled1,scheduled1,YES,false_negative,,0,S,2/11/2026,The committee on WLA deferred the measure.
